seeds=40 N=9 T=6 sigma_true=0.1
ssvs tau0=0.02 tau1=1.5 draws=20000 burn=5000

case     method       correct   false  missed  exact  med sig  med frob
block    mple           26.20    1.57    0.80   14/40   0.0908     0.673
block    lasso-cv       20.85   18.43    6.15    0/40   0.6144     3.730
block    lasso-bic      23.70   18.27    3.30    0/40   0.0649     2.799
block    alasso-bic     23.32    8.28    3.67    0/40   0.0924     2.791
block    lasso-best     19.27    1.68    7.72    0/40   0.7462     3.542
block    ssvs           26.32    1.50    0.68   10/40   0.0915     0.785

scatter  mple           26.40    1.40    0.60   17/40   0.0887     0.596
scatter  lasso-cv       21.73   19.30    5.28    0/40   0.4297     3.321
scatter  lasso-bic      23.98   17.00    3.02    0/40   0.0649     2.786
scatter  alasso-bic     23.57    7.85    3.42    2/40   0.0963     2.714
scatter  lasso-best     19.68    2.35    7.33    0/40   0.6960     3.224
scatter  ssvs           26.00    1.12    1.00   17/40   0.0941     0.525

paired against mple, both cases pooled (errors = false + missed)
  lasso-cv    worse than mple  80   better   0   equal   0   of 80
  lasso-bic   worse than mple  80   better   0   equal   0   of 80
  alasso-bic  worse than mple  77   better   2   equal   1   of 80
  lasso-best  worse than mple  79   better   0   equal   1   of 80
  ssvs        worse than mple  24   better  24   equal  32   of 80

rows selected with more cells than observations: 0

      seed case     method        M  corr  false  miss   sigma    frob
  20270726 block    lasso-bic    38    22     16     5  0.0540   4.940
  20270726 block    alasso-bic   29    21      8     6  0.0867   5.207
  20270726 block    lasso-best   22    19      3     8  0.9725   5.154
  20270726 block    ssvs         28    24      4     3  0.0803   2.051
  20270726 scatter  mple         31    26      5     1  0.0570   1.884
  20270726 scatter  lasso-cv     47    25     22     2  0.1313   4.092
  20270726 scatter  lasso-bic    36    25     11     2  0.0920   1.538
  20270726 scatter  alasso-bic   30    25      5     2  0.0985   1.538
  20270726 scatter  lasso-best   23    21      2     6  0.9692   5.646
  20270726 scatter  ssvs         28    27      1     0  0.0831   0.725
  20271726 block    mple         31    26      5     1  0.0633   1.384
  20271726 block    lasso-cv     46    27     19     0  0.0721   1.367
  20271726 block    lasso-bic    41    27     14     0  0.0510   0.865
  20271726 block    alasso-bic   29    27      2     0  0.0723   0.407
  20271726 block    lasso-best   29    24      5     3  0.3665   1.379
  20271726 block    ssvs         28    27      1     0  0.0815   0.889
  20271726 scatter  mple         28    25      3     2  0.0775   1.723
  20271726 scatter  lasso-cv     41    16     25    11  0.4321   4.700
  20271726 scatter  lasso-bic    44    19     25     8  0.0590   3.729
  20271726 scatter  alasso-bic   34    18     16     9  0.0763   3.672
  20271726 scatter  lasso-best   15    12      3    15  1.0448   4.885
  20271726 scatter  ssvs         29    25      4     2  0.0646   1.723
  20272726 block    mple         28    26      2     1  0.0944   1.446
  20272726 block    lasso-cv     49    21     28     6  0.2822   7.897
  20272726 block    lasso-bic    42    23     19     4  0.0648   8.035
  20272726 block    alasso-bic   32    22     10     5  0.0798   7.985
  20272726 block    lasso-best   20    17      3    10  1.0210   5.455
  20272726 block    ssvs         29    26      3     1  0.0913   1.519
  20272726 scatter  mple         26    26      0     1  0.1048   0.835
